pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
         3564160 function calls (3557361 primitive calls) in 19.422 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 dis.py:1(<module>)
      207    0.001    0.000    0.008    0.000 enum.py:284(__call__)
      104    0.000    0.000    0.008    0.000 traceback.py:282(line)
        1    0.000    0.000    0.008    0.008 markers.py:4(<module>)
      253    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
       48    0.001    0.000    0.008    0.000 __init__.py:1325(safe_version)
      367    0.001    0.000    0.007    0.000 re.py:185(sub)
       78    0.000    0.000    0.007    0.000 linecache.py:15(getline)
       23    0.000    0.000    0.007    0.000 __init__.py:2258(fixup_namespace_packages)
        1    0.000    0.000    0.007    0.007 linecache.py:6(<module>)
       78    0.000    0.000    0.007    0.000 linecache.py:37(getlines)
        1    0.000    0.000    0.007    0.007 linecache.py:82(updatecache)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
12636/11652    0.006    0.000    0.007    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.007    0.007 selectors.py:5(<module>)
       26    0.000    0.000    0.006    0.000 __init__.py:1574(_has)
     5976    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
        7    0.000    0.000    0.006    0.001 enum.py:389(_create_)
       26    0.000    0.000    0.006    0.000 genericpath.py:16(exists)
      618    0.002    0.000    0.006    0.000 _inspect.py:98(getargspec)
      140    0.004    0.000    0.006    0.000 ntpath.py:178(split)
     2378    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      219    0.001    0.000    0.006    0.000 camera.py:20(rotate)
       32    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.006    0.006 type_check.py:3(<module>)
        1    0.000    0.000    0.006    0.006 _add_newdocs.py:10(<module>)
        1    0.000    0.000    0.006    0.006 specifiers.py:214(LegacySpecifier)
        1    0.000    0.000    0.006    0.006 _parseaddr.py:7(<module>)
        1    0.005    0.005    0.006    0.006 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.005    0.005 encoders.py:5(<module>)
        8    0.002    0.000    0.005    0.001 enum.py:135(__new__)
3871/3862    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.005    0.005 queue.py:1(<module>)
       27    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
       83    0.001    0.000    0.005    0.000 pyparsing.py:1821(__add__)
      419    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       23    0.000    0.000    0.005    0.000 overrides.py:200(decorator)
    13423    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.005    0.005 pickle.py:24(<module>)
      273    0.001    0.000    0.005    0.000 function_base.py:441(add_newdoc)
     2901    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.005    0.005 _pocketfft.py:29(<module>)
      133    0.002    0.000    0.005    0.000 pyparsing.py:3260(__init__)
       94    0.000    0.000    0.005    0.000 version.py:74(__init__)
        1    0.000    0.000    0.005    0.005 sprite.py:67(<module>)
        1    0.000    0.000    0.005    0.005 polynomial.py:57(<module>)
      657    0.005    0.000    0.005    0.000 {built-in method pygame.key.get_pressed}
        1    0.000    0.000    0.005    0.005 glob.py:1(<module>)
        2    0.000    0.000    0.004    0.002 shape_base.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:2224(declare_namespace)
        2    0.000    0.000    0.004    0.002 pyparsing.py:4763(srange)
      438    0.002    0.000    0.004    0.000 camera.py:3(_rotate_vec)
       94    0.002    0.000    0.004    0.000 version.py:131(_legacy_cmpkey)
      348    0.002    0.000    0.004    0.000 functools.py:37(update_wrapper)
       84    0.001    0.000    0.004    0.000 pyparsing.py:3390(__init__)
        3    0.000    0.000    0.004    0.001 __init__.py:340(__init__)
3180/3176    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:956(_cache_bytecode)
        1    0.000    0.000    0.004    0.004 __init__.py:4(<module>)
      253    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      365    0.003    0.000    0.004    0.000 ntpath.py:122(splitdrive)
        2    0.004    0.002    0.004    0.002 {built-in method _ctypes.LoadLibrary}
        1    0.000    0.000    0.004    0.004 bz2.py:5(<module>)
      291    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.004    0.004 core.py:21(<module>)
        1    0.000    0.000    0.004    0.004 tokenize.py:21(<module>)
        2    0.000    0.000    0.004    0.002 pyparsing.py:1608(parseString)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:961(set_data)
      321    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
       60    0.001    0.000    0.004    0.000 __init__.py:2023(<genexpr>)
       38    0.000    0.000    0.004    0.000 abc.py:125(__new__)
        1    0.001    0.001    0.004    0.004 <frozen importlib._bootstrap_external>:105(_write_atomic)
        1    0.000    0.000    0.004    0.004 subprocess.py:42(<module>)
        1    0.000    0.000    0.004    0.004 appdirs.py:9(<module>)
        1    0.000    0.000    0.004    0.004 decimal.py:2(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
      711    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
      401    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      335    0.004    0.000    0.004    0.000 pyparsing.py:1144(__init__)
       54    0.002    0.000    0.003    0.000 sre_compile.py:411(_mk_bitmap)
      614    0.003    0.000    0.003    0.000 _inspect.py:67(getargs)
       74    0.000    0.000    0.003    0.000 ntpath.py:219(dirname)
      688    0.002    0.000    0.003    0.000 __init__.py:2037(dist_factory)
    102/2    0.001    0.000    0.003    0.002 pyparsing.py:1370(_parseNoCache)
     10/2    0.000    0.000    0.003    0.002 pyparsing.py:3397(parseImpl)
       83    0.001    0.000    0.003    0.000 ntpath.py:75(join)
        2    0.000    0.000    0.003    0.002 __init__.py:2923(_reload_version)
        2    0.000    0.000    0.003    0.002 __init__.py:2516(_version_from_file)
      586    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.003    0.002 pyparsing.py:4681(originalTextFor)
      270    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
       48    0.001    0.000    0.003    0.000 pyparsing.py:1948(__or__)
      711    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.003    0.003 nanfunctions.py:22(<module>)
       18    0.000    0.000    0.003    0.000 {built-in method builtins.next}
     1955    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
       16    0.000    0.000    0.003    0.000 pyparsing.py:1204(setResultsName)
        1    0.000    0.000    0.003    0.003 polynomial.py:4(<module>)
      394    0.001    0.000    0.003    0.000 sre_compile.py:423(_simple)
      872    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 utils.py:4(<module>)
      253    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1082    0.002    0.000    0.003    0.000 {built-in method builtins.any}
       30    0.000    0.000    0.003    0.000 __init__.py:1470(_fn)
     1495    0.002    0.000    0.003    0.000 sre_parse.py:172(append)
     16/2    0.000    0.000    0.003    0.001 pyparsing.py:3737(parseImpl)
        2    0.000    0.000    0.003    0.001 pyparsing.py:3859(parseImpl)
      200    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      471    0.002    0.000    0.003    0.000 {method '__reduce_ex__' of 'object' objects}
     1251    0.002    0.000    0.003    0.000 sre_parse.py:286(tell)
      348    0.002    0.000    0.003    0.000 sre_compile.py:249(_compile_charset)
      292    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.003    0.003 errors.py:5(<module>)
       46    0.000    0.000    0.003    0.000 ntpath.py:212(basename)
       92    0.001    0.000    0.003    0.000 enum.py:836(__and__)
        1    0.000    0.000    0.002    0.002 __init__.py:2375(EntryPoint)
     2632    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     20/8    0.000    0.000    0.002    0.000 pyparsing.py:3547(parseImpl)
        3    0.000    0.000    0.002    0.001 __init__.py:1415(get_metadata_lines)
       82    0.001    0.000    0.002    0.000 pyparsing.py:3719(__init__)
        3    0.000    0.000    0.002    0.001 __init__.py:1409(get_metadata)
        1    0.002    0.002    0.002    0.002 {built-in method nt.replace}
        1    0.001    0.001    0.002    0.002 six.py:1(<module>)
        1    0.000    0.000    0.002    0.002 random.py:38(<module>)
      158    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
     1014    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
       48    0.000    0.000    0.002    0.000 pyparsing.py:3540(__init__)
      191    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
        6    0.001    0.000    0.002    0.000 enum.py:654(<listcomp>)
     2054    0.002    0.000    0.002    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.002    0.002 _type_aliases.py:24(<module>)
        1    0.000    0.000    0.002    0.002 twodim_base.py:3(<module>)
       92    0.001    0.000    0.002    0.000 ntpath.py:201(splitext)
       23    0.000    0.000    0.002    0.000 __init__.py:2811(insert_on)
        1    0.000    0.000    0.002    0.002 lzma.py:9(<module>)
     2899    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 scimath.py:17(<module>)
      398    0.001    0.000    0.002    0.000 version.py:114(_parse_version_parts)
      958    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.002    0.002 opcode.py:5(<module>)
        3    0.000    0.000    0.002    0.001 __init__.py:1586(_get)
